Comment,Insult
"ne guzel, ne kaliteli, ne dogaldiniz...Ne gerek vardi disleri kocaman yaptirip abuk subuk giyinip herkes gibi olmaya",1
Kendını beyenmıs parayla sımarmıssın zengın yere bakmaz fakırse havaya fakırlık ınsanlıktır bence,1
Gülse Birsel lütfen sen sadece bişeyler yaz.. Ne kendini göster ne de oyna.. Çok iticisin :((((,1
Bir insan hic bir zaman mezheb dil nereden geldigine degil onun adamligina ve insanlina bakar siz o saygi duyulacak insanlardan degilsiniz ... Cok yardi. Yapa bilirsiniza ama birinin goz yasini hele geldigi ulkeden vurmak ki onun elinde olan bir sey degil cikartiyorsaniz size kimse sayvi ve sevgi beslemez ha sizin umrunuzda olmaya bilir ama.eminim vijdan buyuk mahkeme sizi kendi mahkemeniz yargilasin insaaalaaah,1
Sana adam değil kadın demeleri lazım lan ######## herif,1
"yardım konserleri verdiğini söylüyor evette, hangi yardım konserini ne zaman veya nerede verdiğini duydunuzmu yada gördünüzmu. Bırakın bu ezber yazıları. Bazıları kameralarla gezer, morgul gibi insanlarda kalplerde. Fakat bunu anlayabilecek bir insan değilsiniz. Ha pardon insan dedim...",1
insanlarin kiyafetini elestirmekten baska bi bok bilmezmisiniz siz ya sayenizde nefret ediyorum ırkımdan,1
"Kesilen agaclar icin yürudun ""sozde ekmek almaya giden berkin icin"" yürudun onca sehidimiz var neden sesin cikmiyor",1
Ay Allah'ım bi bitmediler be..????,1
İkiside cirkin hele.maktajsiz poz verin bakiiimmm :) yada görüntü kirliligi yapmayin yae,1
Bir daha kaysi yemiycem??????????????,1
Hep bir Çaba hep bir kanit pesindesin kiralik magazincilerinle. Sıkıntili oldgu ortdaki ispatlmktan canin cikti ozelllkle dizi basldgindan beri.böyle ucuz Ismarlama haberlere herkesin karni tok yenmiyorKurgun zayif cengize haberi kutgulrlrkn Bir de son model fotograf cekip koydursaydin. Küflenmiş Fotografinzla Etki olmuyor. GUZELLKTE ÇAPA KELIMEN SON ZAMNLRN OLMUS BUNU DA ÖGRENDK YAZDRILMIS ODA HEP BI YAKISYORMUYUZ SDERDI KEMIRIYOR TABI BUTUN KIRALK MAGZNCI AHBAPLARN USRARLA COK YAKISTRYR HER YAZDA SİZİ BURALARDAN BAKINCA BÖYLE GORUNUYORSUNUZ BIL VE KIMSE YUTMUYOR ARTIK HIRPALMAYIN KENDINIZI. OYUNCULUK VE SENARST OLRAK ŞAKŞAKLMLRIDA AYRI BIR TRAJDI.BU KATEGORYE BI UYDURUK FILMLE GIRMEK GÜLSE BILSEL GIBI BI KALEME YAZIK OLUR SEN KIM OYUNCLK SENARSTLIM KIM KOMEDI ZEKA KONUSUNDA BIRDE MERIC ACEMI KALEMI VAR SEN TANIMYRDUN GERCI BUNLR DURURK SENI SISIREN BIRTAKIM INSAN ZAVALLRIYLA KENDINIZ YAZAR HABERI KENDNZ INANIRSINIZ.ÇOK GEREKSZ YER KAPLYRSUNUZ. @arducbrs bütun bunlari görememende senin tuhafligin oluyor kusura bakmayacaksin.'guzelkalbimizden' çikanlr gercekler bunlar.görüyoruz,1
"""Bir annenin boynundaki en değerIi mücevher, evIadının sevgi doIu koIIarıdır..."" Allah nazarlardan korusun sizi ???????????",1
Çok fazla Dışarıya alışma o deliğe girmen yakındır içimizdeki Şeytanlar sizin bu güzel ülkede yaşamaya hakkınız. Yok Ermeni suratlı git yurtdışında yaşa,1
selam hanımefendi sizinle aynı seviyede konusamayacagim ...siz kendi bildiginiz alanda oynamaya devam ediniz. ..insanın aynasıdır kalbi sizin yansimaniz bizim pencerelerimizi kirletemez..işte aramızdaki fark bu...yinede sevgiyle kalın. .daha fazla kirletmeyin elinizi kalbinizi dilinizi. ..boşuna çünkü. ..mutluyuz biz inadına mutluyuz. ..bayram yeri gonullerimiz. ..huzur doluyuz çok şükür. ..,1
Bi ebeninin aminu gormenissin serefsizzz irda surunup gebermeliydinnn o sehid haberlerine hicmi uzulmuyosun picc hala teroristlere para yardimi yapiyosun bunn hesabin artik ahirete kaldi bklm ordada boyle acitasyon yapabilckmsnnnn,1
Insana da Vatana da sevgimizi canimizi feda edecek kadar ustun tutuyoruz. Sizlerse bu ulkeyi parcalayip masum insanlarin kanini doken serefsizlere deher verip onlarin kolesi olmak ki zaten baska bisey de yapmaniz sozkonusu bile değolil. Yaptigim tek pislik senin modunda senin benzerinde urettigim dışkılardır ki gittiği yerde belli zaten. Analar insan doğurur ama sen ve senin gibiler pislik olmayı hain olmayı seçer,1
Sen hdpkkyı destekliyen birisi olarak masum kanı dökeni destekliyorken karıncanın incinmesinden mi cekineceksin ???????? ne kadar da hainsiniz keşke hepini ölseniz. Bu arada ne o sana biri tecavüz etti de suçluyu mu arıyorsun o boş beyninle. Yine de geçmiş olsun. Sana yapılmıs olmasıda kesinlikle kabul edilemez gercekten buyuk gecmis olsun suçlu umarım en kısa zamanda bulumup en ağır sekilde cezalandirilir ama sen onuda suclu gormezsin. Nebek katillerini masum gorurken bi ayrımı niye yaparsın dimi!,1
Özgürlüğe fazla alistirma kendini kuklaaa.Benim Cumhurbaskanimada laf soyleme zibidi.Sizin gibiler icin yaşasın Cehennem.,1
Senin kafanı yaşamadığım kesin..sırf taraf tutmak için taraf tutuyorsun yorumlarından okudum...ülken elden gidiyor..oturmuş gazeteci eleştiriyosun...seni yönetenlere bak sen..!!,1
